Pre,runoff,
246.1912571,243.57812,
203.4613074,231.09375,
277.8482166,228.625,
254.9891676,233.17188,
286.4142745,239.33594,
307.5663936,242.21094,
267.2372637,237.79688,
238.9567692,229.39062,
239.6481362,220.59375,
210.0042359,213.28125,
205.6281259,207.85938,
219.554876,203.96875,
198.4967893,200.89844,
200.9332829,198.50781,
246.8488212,197.625,
250.0173801,216.0625,
229.9137074,262.59375,
222.5042397,293.26562,
318.1570348,300.96875,
295.7034498,295.67188,
286.4577201,281.04688,
259.6449053,263.23438,
296.4383693,244.77344,
286.5154267,228.21875,
245.8859832,215.03906,
228.3238583,205.44531,
237.0749236,199.25781,
237.534096,196.82812,
227.7694776,195.15625,
205.393697,192.89844,
216.6754273,190.17969,
217.5817561,187.45312,
179.6018651,185.00781,
190.5353675,182.94531,
201.3576154,181.48438,
193.9228756,180.44531,
193.4122399,179.15625,
198.5964021,177.46094,
199.3923208,176.32812,
193.8285653,175.32031,
181.8007654,174.01562,
224.3866839,181.07812,
211.9130105,205.48438,
225.0890086,231.6875,
231.1169931,244.85156,
247.2965763,236.10156,
240.8670939,217.67969,
217.3658322,200.125,
232.5107809,187.55469,
239.4994761,180.08594,
213.6615473,175.5625,
210.4032001,172.8125,
202.035256,172.20312,
218.0893344,171.64844,
246.6609702,184.46094,
279.3597909,244.05469,
249.8669453,324.39844,
281.5916175,373.25,
347.6975594,376.71094,
314.3669384,346.76562,
324.5500203,308.60938,
256.5673214,273.98438,
285.2057078,250.55469,
238.1918097,237.78906,
230.3319143,226.5,
211.8011572,213.0625,
228.4247326,200.29688,
229.3868009,190.60938,
208.717544,184.42188,
193.3771969,180.57031,
192.5799311,178.03906,
248.2141727,176.07031,
224.5068222,174.40625,
192.9184735,172.84375,
168.0561363,171.32812,
193.0440104,169.8125,
165.1750093,168.22656,
172.411058,166.64844,
164.1028302,165.10156,
158.1847961,163.57812,
156.0969793,162.03125,
145.2634958,160.46875,
165.4804008,158.875,
187.0621227,157.25,
158.3603639,155.61719,
151.9439451,153.97656,
153.4997133,152.32031,
169.3540424,150.70312,
146.371958,149.14844,
145.1493656,147.60938,
142.9505507,146.09375,
162.9030082,144.61719,
162.878677,143.125,
148.0986544,141.64062,
152.5951057,140.17969,
150.3098379,138.78125,
149.3407888,137.42969,
151.0171122,136.14062,
159.1354578,134.85156,
143.438865,133.54688,
145.8792606,132.21875,
135.5175642,130.91406,
140.0146356,129.63281,
156.767778,128.375,
138.8510967,127.11719,
137.8007794,125.82813,
139.2176691,124.55469,
141.0922881,123.30469,
149.7760575,122.07813,
142.6904543,120.85156,
144.1764679,119.60156,
146.9519956,118.53906,
143.2880134,118.15625,
147.3830844,117.76563,
148.3157115,117.04688,
164.7172052,116.5625,
163.2170483,117.34375,
146.2016926,119.48438,
182.9827131,121.71875,
153.7719968,122.89063,
148.6275814,122.59375,
144.9700989,121.17188,
137.4885888,119.3125,
125.2341533,117.375,
136.5927633,115.5,
145.2709256,113.76563,
129.8230762,112.14063,
139.7627386,110.54688,
137.0493593,109.04688,
161.145096,107.60938,
122.7666042,106.1875,
125.0628937,104.78125,
121.1037185,103.42188,
131.8933555,102.10938,
138.4046244,100.84375,
126.3941643,99.59375,
141.5558328,98.35938,
147.9112417,97.17188,
137.3797823,96.03125,
129.0569462,94.96875,
131.5621414,94.14063,
135.0167796,93.73438,
139.4841905,93.45313,
151.5002096,101.35938,
172.4836776,120.01563,
168.8541504,132.17188,
176.7870503,154.14062,
226.9454432,198.26562,
249.1410484,215.75,
183.8050477,209.25,
192.8833556,193.28125,
