AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
20.83,24.55,16.73,17.34,20.18,1009.52,1007.31,-2.3668,8.12,3.96,109.8125
22.73,28.27,16.79,16.58,22.65,1008.01,1005.8,-4.7064,20.65,20.27,102.4375
21.9,26.11,17.43,15.68,21.85,1012.28,1010.06,-4.4676,18.3,3.27,95.34375
21.27,24.72,17.06,14.38,21.55,1013.99,1011.76,-4.2869,13.05,24.35,88.75
21.5,25.86,17.04,14.56,21.08,1015.35,1013.11,-4.1661,6.79,13.3,82.9375
20.63,23.97,17.31,14.74,20.26,1015.96,1013.72,-3.1006,3.46,0.08,78.28125
21.42,25.63,17.97,17.31,20.92,1014.31,1012.08,-2.9493,23.83,60.93,74.5625
22.64,27.08,18.37,15.43,21.89,1012.61,1010.38,-4.012,23.69,2.99,71.09375
23.35,28.37,17.57,14.47,22.31,1012.11,1009.89,-4.6785,15.81,1.86,67.78125
24.49,29.4,20.81,14.83,23.97,1011.74,1009.53,-4.6164,4.25,0,64.59375
20.61,23.31,18.59,17.61,19.82,1009.6,1007.38,-2.3605,23.05,15.45,66.65625
19.29,19.95,18.56,18.17,18.91,1007.74,1005.52,-1.4257,30.7,33.38,97.15625
20.71,22.7,19.4,18.02,20.44,1009.16,1006.93,-2.361,27.07,15.62,160.6875
21.16,23.39,18.56,18.36,21.08,1009.12,1006.91,-1.6286,22.9,18.25,197.15625
23.48,27.36,20.76,18.77,22.75,1007.51,1005.31,-3.1925,12.86,10.23,199.5
25.41,30.05,21.75,19.92,25.01,1005.82,1003.62,-4.2779,11.16,0.66,186.25
24.23,27.99,21.14,20.93,24.86,1004.86,1002.67,-3.6085,14.3,366.56,168.78125
25.7,30.48,21.5,20.33,25.65,1004.6,1002.41,-4.6979,12.91,160.69,151.75
27.66,32.19,24.2,21.23,26.81,1002.45,1000.27,-5.2152,18.8,49.72,136.59375
27.2,30.86,23.56,23.44,27.17,1000.63,998.46,-3.6109,30.06,1104.79,124.09375
28.69,33.24,24.87,23.33,28.42,1001.4,999.23,-5.0133,27.77,2349.95,113.84375
28.03,32.36,23.53,23.47,27.82,1003.02,1000.84,-4.4602,29.42,1694.65,106.84375
26.07,30.06,21.94,19.72,25.61,1006.42,1004.23,-5.8243,17.36,1.81,102.59375
25.99,30.39,22.26,19.72,25.09,1006.64,1004.45,-5.342,5.88,0,99.96875
26.61,30.36,23.16,21.09,26.15,1005.97,1003.79,-4.2262,0.55,681.85,97.65625
27.54,31.98,23.5,21.53,27.66,1005.57,1003.38,-5.2173,24.86,614.66,94.0625
25.52,29.2,22.86,20.44,26.23,1004.49,1002.3,-5.2445,26.01,29.36,89.25
25.11,28.48,21.87,19.83,24.96,1004.41,1002.22,-4.5692,29.19,0.81,84.1875
25.41,28.12,22.29,20.57,25.27,1006.47,1004.27,-3.4912,17.73,0.09,79.6875
27.64,31.17,24.71,22.03,27.11,1005.43,1003.24,-4.234,28.93,8.97,75.5
27.55,31.24,24.85,23.02,27.64,1004.74,1002.56,-4.107,34.14,341.45,71.71875
28.81,33.01,26.45,24.99,28.73,1004.49,1002.31,-3.8142,34.41,1176.89,68.515625
30.75,34.35,28.35,25.69,29.93,1002.74,1000.57,-4.4968,38.81,1818.35,65.828125
32.26,35.17,29.93,25.33,31.24,999.98,997.82,-3.8215,37.07,1550.32,63.78125
31.02,34.8,27.65,25.96,30.28,999.47,997.31,-4.2983,40.13,1504.81,63.203125
28.93,30.85,26.92,25.91,28.74,1000.4,998.23,-3.8617,39.15,1618.46,65.75
29.02,31.94,27.37,26.16,29.29,1000.52,998.35,-3.7388,37.4,900.26,72.40625
27.86,31.48,25.22,23.79,27.02,1000.71,998.54,-3.7192,27.22,164.42,83.78125
29.35,33.49,25.42,24.49,29.33,1002.75,1000.58,-5.2552,23.58,1089.09,99.09375
29.22,33.59,25.01,23.71,28.53,1005.05,1002.88,-5.2966,4.11,546.39,113.015625
27.08,29.89,25.01,23.82,25.81,1004.1,1001.91,-2.8588,9.66,201.4,119.5
27.73,30.11,26.13,23.8,27.41,1002.75,1000.57,-3.8158,32.85,36.46,118.203125
26.62,29.24,23.87,24.49,26.77,1001.37,999.19,-2.8096,37.78,504.65,117.0625
24.58,25.49,23.55,23.08,24.45,1005.1,1002.91,-1.2504,33.4,153.18,132.71875
24.59,26.18,23.21,23.75,23.62,1005.3,1003.1,-0.8997,38.28,183.54,258.0625
24.54,25.85,22.36,22.63,23.55,1007.83,1005.63,-1.617,25.14,6.38,530.3281
26.5,29.73,24.07,22.24,26.25,1008.01,1005.81,-5.6072,15.73,12.93,655.6406
26.07,28.73,24.65,24.11,25.46,1006.01,1003.82,-2.2335,31.35,68,607.15625
25.48,26.75,24.32,24.07,25.24,1006.57,1004.38,-1.4788,38.4,318.61,529.7656
28.54,30.17,26.7,25.43,27.67,1008.21,1006.02,-2.6288,37.69,2175.04,500.20312
28.66,33.34,25.83,24.86,28.16,1008.59,1006.4,-3.3079,37.84,1593.74,488.14062
29.84,34.76,26.61,25.48,29.36,1006.09,1003.91,-5.5046,34.62,2296.8,446.14062
