AT,Tmax,Tmin,GF,DPT,RH,Evap,PET,LCC,K,runoff
26.45,31.49,22.53,29.09,16.5,54.34,-1.6482,-6.918,0.19,31.01,302.96875
25.88,29.77,22.14,27.96,18.5,63.77,-1.561,-3.991,0.04,27.56,283.70312
24.82,28.95,21.86,25.57,18.35,67.29,-2.0605,-4.122,0.12,30.98,293.14062
24.07,27.01,21.29,23.41,20.55,80.73,-1.834,-1.805,0.62,34.48,323.45312
24.61,27.39,22.67,24.54,22.32,87.07,-1.8055,-2.011,0.31,32.85,472.6875
26.17,30.51,22.28,26.95,21.53,75.65,-3.2788,-4.058,0.17,21.69,716.625
24.38,27.24,21.27,24.63,18.67,70.5,-2.747,-3.505,0.01,21.14,883.2344
21.96,28.31,15.66,20.62,6.43,36.53,-4.7519,-6.872,0,2.04,873.3281
22.38,28.9,16.69,22.31,11.47,50.03,-4.0584,-5.779,0,10.47,779.375
24.63,31.09,19.02,24.6,12.45,46.6,-4.0904,-6.049,0,19.08,679.3594
24.65,30.05,19.75,25.08,13.59,50.15,-3.9232,-6.979,0.1,21.33,590.8281
20.29,22.01,18.89,20.46,18.85,91.43,-1.68,-1.268,0.57,31.33,569.46875
20.36,23.1,17.2,20.27,17.82,85.39,-1.1765,-1.464,0.12,16.49,636.2031
21.83,24.95,19.29,23.14,18.51,81.42,-2.9034,-3.261,0.52,32.6,855.1094
17.78,21.86,15.65,16.56,15.48,86.41,-1.3948,-1.17,0.02,14.27,1027.7031
20.77,25.86,17.2,21.05,13.46,62.94,-4.1176,-5.222,0.01,-4.37,1082.7344
18.52,23.39,13.81,19.35,13.88,74.35,-3.3049,-4.181,0.03,19.39,1027.7812
19.91,25.28,15.62,20.67,14.21,69.68,-3.3846,-4.195,0.05,13.34,923
20.88,26.46,16.32,21.59,12.91,60.28,-3.7071,-4.685,0.01,19.77,812.78125
19.93,24.55,14.98,19.06,11.76,59.28,-3.2996,-4.468,0.02,22.85,716.8594
19.66,26.03,14.09,20.24,12.63,63.85,-3.3727,-4.583,0.01,24.3,636.0469
21.05,26.81,16.3,21.86,12.98,59.95,-3.3678,-4.531,0,16.39,565.4531
22.66,27.8,17.79,22.74,14.35,59.38,-2.8099,-4.031,0,18.6,504.29688
21.79,26.43,18.22,22.09,13.78,60.36,-2.5615,-3.837,0,28.28,448.23438
21.18,26.32,16.36,22.08,14.04,63.73,-3.1139,-4.411,0.01,27.32,402.6875
21.7,27.06,18.25,22.69,12.19,54.68,-3.3299,-5.031,0,21.07,368.85938
19.28,23.66,15.57,20.28,13.26,68.12,-2.3611,-3.492,0.01,28.5,341.4375
19.97,25.44,15.36,22.08,13.89,67.97,-2.9148,-4.393,0.06,26.04,321.98438
18.52,22.56,14.62,19.86,14.77,78.8,-2.132,-3.222,0.33,23.94,319.85938
18.96,23.65,16.07,19.74,16.4,85.09,-1.5951,-2.493,0.37,26.07,325.625
19.08,21.99,16.88,19.85,16.82,86.7,-1.5861,-1.756,0.27,27.92,320.98438
19.55,22.83,17.45,19.23,15.84,79.15,-1.5736,-2.125,0.45,28.77,333
19.48,22.38,17.14,20.18,15.93,79.94,-1.9044,-2.598,0.5,26.43,363.09375
18.91,25.85,14.24,19.23,12.71,67.26,-2.6275,-3.616,0.02,7.63,391.32812
20.2,26.73,15.35,20.07,12.48,61.13,-3.0206,-4.318,0,14.63,419.59375
21.15,28.75,15.72,20.94,11.61,54.44,-3.1515,-4.626,0,7.88,399.20312
21.79,28.94,16.53,22.37,12.71,56.28,-3.2257,-5.122,0,11.35,364.39062
21.93,28.55,15.8,21.54,12.83,56.24,-3.0636,-5.585,0,6.45,332.3125
23.17,27.3,18.45,23.22,13.46,54.36,-2.751,-5.56,0.06,23.56,304.51562
23.82,27.3,20.67,23.52,17.63,68.28,-1.7972,-3.794,0.25,28.93,280.01562
24.75,29.36,20.95,24.9,18.73,69.18,-1.7599,-3.795,0.22,28.62,259.89062
25.64,29.7,21.66,26.62,19.34,68.16,-2.1747,-4.359,0.31,31.13,244.85938
22.42,24.9,20.52,23.78,19.6,84.09,-1.8691,-2.27,0.65,33.96,248.23438
22.63,25.89,20.14,22.27,19.15,80.76,-1.6941,-2.166,0.49,30.58,309.32812
22.25,26.76,15.74,22.84,17.28,73.44,-3.199,-3.845,0.59,29.39,432.1875
14.89,17.15,10.71,13.63,8.74,66.61,-1.3777,-1.654,0.1,13.9,584.2656
12.91,18.95,7.79,12.71,4.26,55.65,-2.8438,-4.208,0,-27.49,720.0781
15.12,21.5,9.02,16.37,6.44,56.08,-2.7238,-3.968,0,-3.17,736.125
12.94,15.94,10.45,12.99,8.09,72.38,-1.0424,-1.784,0.04,8.63,670.9219
14.52,19.78,10.76,15.26,9.86,73.58,-2.0225,-3.153,0.05,7.29,589.1094
16.81,22.44,11.09,17.86,10.47,66.18,-2.2413,-3.327,0.06,2.09,521.3906
16.04,23.41,9.93,15.58,1.36,37,-2.7796,-4.626,0,-4.2,466.48438
14.56,18.86,10.56,16.04,4.95,52.45,-1.9146,-3.064,0.04,16.9,419.42188
13.36,17.42,9.9,13.83,9.76,78.77,-1.046,-1.698,0.44,10.98,383.39062
14.22,18.92,11,15.63,10.37,77.63,-1.3624,-2.375,0.01,9.04,355.8828
12.98,17.45,8.69,13.51,8.85,75.98,-0.9901,-1.768,0.06,16.68,330.4297
12.22,17.85,6.47,11.58,1.73,48.67,-1.9821,-3.954,0,0.31,305.7578
11.87,18.61,6.22,11.26,0.96,47.1,-1.8718,-3.815,0,-1.6,284.3672
12.81,20.65,7.11,13.04,2.28,48.69,-1.8987,-3.347,0,-1.82,266.84375
15.71,24.04,8.93,15.74,5.57,50.86,-1.9595,-3.812,0,5.59,251.25781
17.08,25.46,10.62,17.09,6.68,50.32,-1.8562,-3.661,0,13.8,237.33594
17.16,25.78,10.84,16.9,6.19,48.42,-1.8455,-3.609,0,13.27,226.55469
17.6,25.59,11.08,17.44,6.34,47.59,-1.8772,-4.426,0,4.77,219.26562
17.55,23.63,12.52,18.07,10.01,61.23,-1.3458,-3.367,0.02,14.03,214.59375
